Index,label,integer_1,integer_2,integer_3,integer_4,integer_5,integer_6,integer_7,integer_8,integer_9,integer_10,integer_11,integer_12,integer_13,categorical_1,categorical_2,categorical_3,categorical_4,categorical_5,categorical_6,categorical_7,categorical_8,categorical_9,categorical_10,categorical_11,categorical_12,categorical_13,categorical_14,categorical_15,categorical_16,categorical_17,categorical_18,categorical_19,categorical_20,categorical_21,categorical_22,categorical_23,categorical_24,categorical_25,categorical_26
359,0,0.0,13,1.0,5.0,1556.0,78.0,9.0,20,26.0,0.0,1.0,0.0,15.0,be589b51,09e68b86,032ef18b,dad66aab,25c83c98,7e0ccccf,33cca6fa,0b153874,a73ee510,401ced54,9f7c4fc1,6c9f4a34,2b9fb512,07d13a8f,36721ddc,b2d7143d,e5ba7672,5aed7436,0c5af688,a458ea53,0aaa4031,,3a171ecb,1793a828,e8b83407,0bd3dba3
386,0,0.0,-1,,,8697.0,361.0,9.0,0,99.0,0.0,1.0,0.0,,5a9ed9b0,4c2bc594,d032c263,c18be181,4cf72387,7e0ccccf,c0adc046,5b392875,a73ee510,3b08e48b,3b8d987f,dfbb09fb,a8ff8c8a,1adce6ef,ae0c3875,84898b2a,e5ba7672,15a36060,,,0014c32a,c9d4222a,3a171ecb,3b183c5c,,
436,0,,233,,0.0,14581,,0.0,0,231.0,,0.0,,54.0,05db9164,8084ee93,d032c263,c18be181,25c83c98,fe6b92e5,82615655,0b153874,a73ee510,c5d978ae,e015e3d6,dfbb09fb,8f265ae5,07d13a8f,422c8577,84898b2a,1e88c74f,52e44668,,,0014c32a,,32c7478e,3b183c5c,,
441,0,0.0,0,7.0,4.0,7747,186.0,3,45,146,0.0,1,,14.0,68fd1e64,0a519c5c,b00d1501,d16679b9,25c83c98,7e0ccccf,516ce6f9,5b392875,a73ee510,3b08e48b,2a55306d,e0d76380,04490a65,b28479f6,b760dcb7,1203a270,07c540c4,2efa89c6,,,73d06dde,,be7c41b4,aee52b6f,,
447,1,0.0,-1,,,2334,36.0,12.0,24,159.0,0.0,7.0,,,05db9164,a796837e,af48fb08,e3cc371a,25c83c98,fbad5c96,38eb9cf4,0b153874,a73ee510,441dd290,7f8ffe57,c78e8461,46f42a63,07d13a8f,23a9a76d,c4de5bba,e5ba7672,c4ba79ab,,,7a593b43,,32c7478e,8fc66e78,,
458,0,,0,4.0,5.0,4626,,0,5,91,,0,1.0,5.0,39af2607,4d554e60,d032c263,c18be181,25c83c98,fe6b92e5,b2a55fc8,0b153874,a73ee510,30fdb872,2b9f131d,dfbb09fb,aca10c14,64c94865,639789e9,84898b2a,8efede7f,9ef8c1e3,,,0014c32a,,32c7478e,3b183c5c,,
488,0,0.0,33,9.0,3.0,6212.0,183.0,2,5,5,0.0,1,0.0,3.0,be589b51,0b8e9caf,b6fa2375,85a4691c,25c83c98,,cd846c62,0b153874,a73ee510,3b08e48b,f03ed979,03170eeb,44af41ef,ad1cc976,1e33dfc1,46744cd4,3486227d,a7a5c186,,,3c46d316,,c3dc6cef,08b0ce98,,
491,0,,-1,,0.0,14,92.0,0,0,83,,0,,0.0,05db9164,09e68b86,6fb84f11,74c01727,25c83c98,,3d63f4e6,0b153874,a73ee510,5aecc062,af6a4ffc,1c6608e2,2a1579a2,07d13a8f,36721ddc,bf784cf7,3486227d,5aed7436,55dd3565,5840adea,1e5dd970,,32c7478e,75aae369,e8b83407,fa1d538c
492,0,,13,6.0,5.0,10085,6.0,2,5,9,,1,,5.0,05db9164,38a947a1,42a04a35,7031bb66,25c83c98,6f6d9be8,1346a1ab,1f89b562,a73ee510,06965c3d,96a52b15,7127a7d6,e40f343d,b28479f6,a723edcb,51a8930b,e5ba7672,0c1cbf43,,,53cb3c2b,,32c7478e,b258af68,,
510,1,1.0,1,4.0,3.0,378.0,12.0,27,28,765,1.0,14,,10.0,05db9164,89ddfee8,8411af70,2201c6a5,25c83c98,fbad5c96,a097ff18,0b153874,a73ee510,b5f7cd48,3407cf7b,71322398,f0fe287d,051219e6,d5223973,35cb8a21,3486227d,5bb2ec8e,21ddcdc9,a458ea53,262b3f59,,3a171ecb,2a81a5b7,f0f449dd,20ee8133
517,0,7.0,-1,,,394,11.0,125,11,178,1.0,12,0.0,,68fd1e64,80e26c9b,2e855da7,c446f801,25c83c98,7e0ccccf,172f0631,0b153874,a73ee510,0f4a45d3,1314bfd8,1b312abb,1e8bfb9a,07d13a8f,f3635baf,48ff5919,3486227d,f54016b9,21ddcdc9,b1252a9d,1cedb306,,32c7478e,93a075b7,e8b83407,4271e99f
563,0,,2,,,36144.0,,,36,,,,,,05db9164,d833535f,77f2f2e5,d16679b9,4cf72387,7e0ccccf,0c41b6a1,0b153874,a73ee510,4f11d1f4,4ba74619,9f32b866,879fa878,b28479f6,a66dcf27,31ca40b6,e5ba7672,7b49e3d2,,,dfcfc3fa,,423fab69,aee52b6f,,
567,0,0.0,921,1.0,3.0,1620,9.0,4,4,7,0.0,1,,3.0,68fd1e64,e112a9de,8732a493,adef24d7,25c83c98,fbad5c96,eadf50d8,0b153874,a73ee510,39e5f965,9ebe879b,4e86e533,824e4eea,1adce6ef,a4e2caab,0f99b5b5,e5ba7672,c342ea0e,,,d666c737,,32c7478e,8ca3a6b7,,
574,0,,0,35.0,34.0,2947.0,,0,38,73,,0,,34.0,05db9164,d833535f,ad4b77ff,d16679b9,25c83c98,7e0ccccf,e824c09e,5b392875,a73ee510,2e546b3f,dcea998f,a2f4e8b5,55be071f,07d13a8f,943169c2,89052618,07c540c4,281769c2,,,d4703ebd,c9d4222a,32c7478e,aee52b6f,,
598,0,3.0,2711,17.0,0.0,4.0,0.0,3.0,0,0.0,1.0,1.0,,0.0,05db9164,38a947a1,9a13b697,46fde708,25c83c98,7e0ccccf,67b7679f,0b153874,a73ee510,f652bdf5,16faa766,81372005,4422e246,b28479f6,5b5db834,33d90c69,07c540c4,718ffb5e,,,61a9039a,,32c7478e,71157db1,,
615,1,,1,4.0,1.0,4870.0,19.0,13.0,7,75.0,,6.0,,1.0,24eda356,38a947a1,d2e629b9,ca816d31,25c83c98,fbad5c96,183ceacc,5b392875,a73ee510,bc91cec3,7495273d,7f613a89,e97e78ef,07d13a8f,760e4845,02af86f2,e5ba7672,1c437c51,,,7812b499,,32c7478e,0cae79aa,,
640,0,,7,8.0,5.0,105111,,0,8,57,,0,,5.0,68fd1e64,09e68b86,fdd34bed,561e9402,43b19349,7e0ccccf,ec2709c0,0fb392dd,7cc72ec2,d56146bc,541383bd,d65dc9d7,4fd925c1,07d13a8f,36721ddc,0e311eb0,d4bb7bd8,5aed7436,21ddcdc9,5840adea,9471d1a4,,3a171ecb,3fdb382b,e8b83407,49d68486
641,0,,29,9.0,4.0,8678,145.0,1,9,38,,1,,4.0,9ac48ebf,333137d9,9dd3c4fc,a09fab49,25c83c98,,8271e3c6,0b153874,a73ee510,e6cfaf87,744161b3,3c5900b5,474aef6e,07d13a8f,6cfa4ac6,0decd005,d4bb7bd8,c61e82d7,21ddcdc9,b1252a9d,7633c7c8,,32c7478e,17f458f7,001f3601,71236095
665,0,3.0,82,36.0,6.0,0.0,0.0,69,19,464,1.0,12,0.0,0.0,05db9164,09e68b86,233378be,cb2156cb,4cf72387,13718bbd,26a81064,0b153874,a73ee510,dcbc7c2b,9e511730,44776637,04e4a7e0,cfef1c29,18847041,54dd60b2,e5ba7672,5aed7436,21ddcdc9,5840adea,b39b1608,,3a171ecb,3fdb382b,e8b83407,eb9a9610
677,0,68.0,0,81.0,23.0,56,40.0,282.0,48,469.0,1.0,7.0,1.0,23.0,8cf07265,e77e5e6e,b8d8e2f3,9449965d,25c83c98,7e0ccccf,7c59aadb,5b392875,a73ee510,a098e768,ff78732c,60857cc6,9b656adc,07d13a8f,2eb18840,444585d7,27c07bd6,449d6705,21ddcdc9,a458ea53,110f1bfd,,c7dc6720,4652de8b,e8b83407,8fa55041
695,0,,58,6.0,,,,0.0,0,9.0,,0.0,,,68fd1e64,09e68b86,1763bed2,0138ac61,25c83c98,,e7698644,062b5529,7cc72ec2,3b08e48b,f9d0f35e,3d298648,b55434a9,b28479f6,52baadf5,3261c9f7,2005abd1,5aed7436,4632bcdc,b1252a9d,f32fa7cc,,be7c41b4,abd1cf6d,e8b83407,b12333b3
713,0,,3,1.0,1.0,42481.0,,0.0,10,1.0,,0.0,,1.0,8cf07265,e112a9de,af5655e7,22504558,4cf72387,7e0ccccf,be387078,c8ddd494,a73ee510,e02bb3ed,67b436e3,252162ec,3be7f5f3,1adce6ef,4267a81c,776f5665,e5ba7672,3dde2dc8,,,5c7c443c,,32c7478e,8f079aa5,,
714,0,0.0,1,,,6540,589.0,42,0,349,0.0,6,0.0,,75ac2fe6,9a82ab91,02cf9876,c18be181,4cf72387,7e0ccccf,6dee85e9,0b153874,a73ee510,d347f05a,9642755d,8fe001f4,74c6dd28,07d13a8f,33d2c881,36103458,e5ba7672,004fdf10,,,e587c466,,423fab69,3b183c5c,,
726,0,,36,30.0,2.0,,,0,2,2,,0,,2.0,be589b51,80e26c9b,74e1a23a,9a6888fb,25c83c98,3bf701e7,0dab78da,0b153874,7cc72ec2,3b08e48b,7bc78da9,fb8fab62,6b5d07b4,b28479f6,4c1df281,c6b1e1b2,2005abd1,f54016b9,21ddcdc9,b1252a9d,99c09e97,,be7c41b4,335a6a1e,e8b83407,d15c0cc8
733,1,,44,1.0,0.0,2710.0,,0,1,39,,0,,1.0,5bfa8ab5,0b8e9caf,d7c3940d,591ce327,25c83c98,7e0ccccf,776ecf80,37e4aa92,a73ee510,3b08e48b,d93e6010,9a114ace,4e8bba73,b28479f6,5340cb84,a7cfe8b7,776ce399,ca6a63cf,,,a70f8ad1,,bcdee96c,08b0ce98,,
763,0,,60,2.0,0.0,27285,,,21,,,,,2.0,87552397,2c2fd77c,d032c263,c18be181,25c83c98,7e0ccccf,e58e23dd,0b153874,a73ee510,cd5f2acf,d2830bad,dfbb09fb,3600cc6b,1adce6ef,2683ec1f,84898b2a,d4bb7bd8,09186e1c,,,0014c32a,,423fab69,3b183c5c,,
765,0,0.0,1,5.0,8.0,5640,416.0,31,47,1016,0.0,13,4.0,8.0,68fd1e64,08d6d899,d91a58ba,82b259b6,43b19349,7e0ccccf,62722182,0b153874,a73ee510,3b08e48b,0eb7632e,719229e3,96fa211f,b28479f6,2e85e7c0,10138641,8efede7f,698d1c68,,,2c18ba52,,3a171ecb,f96a556f,,
780,0,,-1,,,,,0,1,1,,0,,,05db9164,68aede49,6b7bca57,75a365a9,25c83c98,fbad5c96,d0bdaa98,37e4aa92,7cc72ec2,3b08e48b,dd6fc8cb,6ba8967b,ebd756bd,07d13a8f,8dbc001a,994c132d,2005abd1,262c8681,,,b6625b91,ad3062eb,32c7478e,afb24112,,
785,1,,0,11.0,9.0,16221,892.0,8,45,437,,2,,10.0,05db9164,cb89a94d,d032c263,c18be181,25c83c98,7e0ccccf,5536f925,0b153874,a73ee510,3b08e48b,9b86870a,dfbb09fb,c3871809,07d13a8f,1b856468,84898b2a,e5ba7672,bc836583,,,0014c32a,,c7dc6720,3b183c5c,,
791,0,1.0,124,,2.0,40,55.0,1,2,2,1.0,1,,2.0,68fd1e64,2c16a946,97e2f975,5f7bee64,25c83c98,7e0ccccf,50b860ee,0b153874,a73ee510,3b08e48b,adc21200,94b0a908,24f97fa1,b28479f6,3628a186,b97f8f45,d4bb7bd8,e4ca448c,,,4535af10,,32c7478e,9117a34a,,
890,0,,158,1.0,1.0,34902.0,,0.0,1,102.0,,0.0,,1.0,5bfa8ab5,ed7b1c58,ce02a2a7,39b2a715,b0530c50,7e0ccccf,3e36122e,0b153874,a73ee510,3b08e48b,60e58dde,a1e9d7f6,e411c4db,b28479f6,c6ceab4d,be87969d,776ce399,167708ca,,,6158d9d2,,be7c41b4,0b8baf69,,
903,1,,90,4.0,3.0,2213,,0,18,18,,0,,3.0,68fd1e64,09e68b86,19f25a8b,116c7f59,25c83c98,6f6d9be8,f1ff45d6,0b153874,a73ee510,9a1250bd,acc758fc,5c1495d8,9bbdb8bd,b28479f6,52baadf5,c1f64e08,8efede7f,5aed7436,2e30f394,5840adea,b2b4048c,,32c7478e,1793a828,e8b83407,aaed6d5d
927,0,,115,,0.0,17271.0,,,16,,,,,16.0,05db9164,d833535f,77f2f2e5,d16679b9,25c83c98,fe6b92e5,83a81c7c,0b153874,a73ee510,7485379b,e1fb71c4,9f32b866,c1d8cef1,b28479f6,a733d362,31ca40b6,07c540c4,281769c2,,,dfcfc3fa,,32c7478e,aee52b6f,,
928,0,5.0,1,56.0,20.0,4,13.0,11,23,22,1.0,2,,13.0,05db9164,80e26c9b,ba1947d0,85dd697c,25c83c98,7e0ccccf,09f58120,5b392875,a73ee510,3b08e48b,2fff84cb,34a238e0,1fdfd0bf,1adce6ef,0f942372,da441c7e,e5ba7672,005c6740,21ddcdc9,5840adea,8717ea07,,dbb486d7,1793a828,e8b83407,9904c656
994,0,0.0,3,8.0,7.0,7261.0,150.0,1.0,7,105.0,0.0,1.0,,7.0,05db9164,298d0556,02cf9876,c18be181,25c83c98,fbad5c96,1c2172ce,1f89b562,a73ee510,3b08e48b,86ca7dc8,8fe001f4,94ebed39,b28479f6,48a5d003,36103458,d4bb7bd8,a8f42b59,,,e587c466,,32c7478e,3b183c5c,,
995,0,,1,5.0,2.0,41074,1896.0,0,2,968,,0,,6.0,5a9ed9b0,46320fff,01e96a9a,8e5b38d8,4cf72387,7e0ccccf,4ac9db9e,0b153874,a73ee510,3b08e48b,bc346946,026ab359,bcc725fc,b28479f6,693474a8,7494f9ca,e5ba7672,d981a095,21ddcdc9,b1252a9d,c3f43ed6,,32c7478e,57ef7a21,c9f3bea7,779ff446
1007,0,,1,,,1628.0,127.0,7,0,68,,1,0.0,,68fd1e64,38a947a1,,,25c83c98,7e0ccccf,11401ad8,0b153874,a73ee510,1ce1e29d,4a1677bb,,ab2497dc,64c94865,40a510d5,,8efede7f,5e8bcf8b,,,,,32c7478e,,,
1008,0,0.0,1,452.0,37.0,4616,352.0,194,35,37,0.0,1,1.0,37.0,68fd1e64,c5c1d6ae,5ad42896,8820c221,25c83c98,7e0ccccf,63985851,0b153874,a73ee510,58f020bc,5874c9c9,7b29edcb,740c210d,b28479f6,29a18ba0,3948d462,3486227d,836a67dd,21ddcdc9,5840adea,b56923bf,,32c7478e,218c9ff7,7a402766,b1966909
1010,0,,0,47.0,14.0,34,,0,14,14,,0,,14.0,2b92c0d2,a0e12995,871319bd,0f2dd3b0,25c83c98,7e0ccccf,c14e7c84,062b5529,a73ee510,3b08e48b,69593bb9,796884f2,140b1e5d,1adce6ef,78c64a1d,c376c946,776ce399,1616f155,21ddcdc9,5840adea,4074f7f4,,55dd3565,0b825353,9b3e8820,984e0db0
1034,0,,-1,,,3651.0,,0.0,9.0,43.0,,0.0,,,8cf07265,f8c8e8f8,cedcacac,7967fcf5,4cf72387,7e0ccccf,ae33f6b1,5b392875,a73ee510,fa7d0797,0b1185ee,553e02c3,9416a599,1adce6ef,bd2c909f,91a6eec5,1e88c74f,d2f0bce2,21ddcdc9,5840adea,a97b62ca,,32c7478e,727a7cc7,f55c04b6,6935065e
1056,0,,5,20.0,39.0,4286.0,48.0,3.0,20,49.0,,1.0,2.0,42.0,05db9164,4f25e98b,dca5d15a,794fc893,b0530c50,fbad5c96,fe4dce68,5b392875,a73ee510,ab9e9acf,68357db6,befd9d25,768f6658,07d13a8f,dfab705f,b2ae3c75,27c07bd6,7ef5affa,c79aad78,a458ea53,4ed90330,,32c7478e,3fdb382b,001f3601,49d68486
1071,0,,0,1.0,3.0,2,,0,3,3,,0,,3.0,8cf07265,04e09220,b1ecc6c4,5dff9b29,25c83c98,7e0ccccf,1880ce04,5b392875,a73ee510,3b08e48b,0fc6ec45,2436ff75,94b87a00,07d13a8f,f6b23a53,f4ead43c,776ce399,6fc84bfb,,,4f1aa25f,,be7c41b4,ded4aac9,,
1074,0,,0,1.0,,56622,,,0,,,,,,05db9164,38a947a1,18e45a4a,2a35d8c7,25c83c98,fbad5c96,9905f515,0b153874,7cc72ec2,711ec2bc,25647a7f,08c9bf42,1e750733,64c94865,9333e1cf,841c20a2,3486227d,607d062b,,,feaeb2ce,,32c7478e,47cbdaec,,
1111,1,,2,7.0,7.0,,,0.0,7,18.0,,0.0,,7.0,68fd1e64,38a947a1,bad5718d,347b0e1d,30903e74,6f6d9be8,88002ee1,0b153874,7cc72ec2,3b08e48b,f1b78ab4,515cacef,6e5da64f,b28479f6,a723edcb,fcfce0a9,2005abd1,0c1cbf43,,,ca3c8d04,,32c7478e,b258af68,,
1126,1,13.0,7,3.0,4.0,251.0,32.0,13.0,21,32.0,1.0,1.0,1.0,7.0,68fd1e64,207b2d81,905a7b53,0e5acd1d,25c83c98,7e0ccccf,08b48f3f,5b392875,a73ee510,3b08e48b,ab60c4de,bac9dcdb,c2e887fc,b28479f6,4e9e3b1e,301d75b3,3486227d,157482f0,21ddcdc9,b1252a9d,278a31a1,,3a171ecb,5bceb83a,001f3601,fdd86175
1154,0,0.0,5,62.0,0.0,4625.0,92.0,20.0,13,198.0,0.0,4.0,1.0,8.0,5bfa8ab5,09e68b86,aa8c1539,85dd697c,30903e74,7e0ccccf,7de93965,0b153874,a73ee510,34d2db5f,9ba53fcc,d8c29807,42156eb4,8ceecbc8,d2f03b75,c64d548f,3486227d,63cdbb21,cf99e5de,5840adea,5f957280,ad3062eb,dbb486d7,1793a828,e8b83407,b7d9c3bc
1205,0,3.0,-1,306.0,8.0,381.0,65.0,3.0,40,44.0,1.0,1.0,,44.0,68fd1e64,78ccd99e,58f2ed61,1e8e99f2,25c83c98,7e0ccccf,bd3ca059,0b153874,a73ee510,40efe0cf,6b0d4f04,d2fd634e,be60a2af,f862f261,ada14dd8,f086c3c7,07c540c4,e7e991cb,de2c6717,b1252a9d,e3b37c88,,32c7478e,72dc1780,c243e98b,52b1f5b1
1221,0,1.0,8,15.0,14.0,108.0,20.0,8.0,4,25.0,1.0,2.0,,17.0,5bfa8ab5,09e68b86,a8f23f71,1feec812,25c83c98,13718bbd,d2d741ca,0b153874,a73ee510,18139a78,ea4adb47,2384e59a,05781932,b28479f6,52baadf5,13d83e9c,e5ba7672,5aed7436,21ddcdc9,a458ea53,b8184bd4,,bcdee96c,3fdb382b,e8b83407,49d68486
1239,0,0.0,0,30.0,8.0,7201,,0,8,2,0.0,0,,8.0,68fd1e64,95e2d337,1d45f474,35b598a9,4cf72387,3bf701e7,1662de8f,64523cfa,a73ee510,e8c6d5af,dd244141,f93f345a,468f0632,b28479f6,17a3bcd8,0f33b689,d4bb7bd8,7b06fafe,276c2365,a458ea53,660fd32b,ad3062eb,be7c41b4,73496e83,e8b83407,f3fccfbe
1280,1,8.0,5,1.0,0.0,10.0,0.0,51.0,1,5.0,1.0,9.0,0.0,0.0,5e53cc38,207b2d81,e48e5552,9ddc492e,25c83c98,7e0ccccf,ff493eb4,37e4aa92,a73ee510,03e48276,0983d89c,e5e1ca92,1aa94af3,64c94865,11b2ae92,29fd6b7b,e5ba7672,395856b0,21ddcdc9,a458ea53,e5191f27,c9d4222a,32c7478e,c23c2e19,001f3601,89e1abe5
1305,0,,1,1.0,,,,,0,,,,,,5a9ed9b0,38d50e09,dcb20533,82a61820,25c83c98,fbad5c96,970f01b2,0b153874,7cc72ec2,3b08e48b,36bccca0,a0a1b9a9,80467802,07d13a8f,ee569ce2,dba66dd1,2005abd1,582152eb,21ddcdc9,5840adea,c815cc03,,55dd3565,cafb4e4d,001f3601,99f4f64c
1309,0,,122,,,4734,14.0,1,13,14,,1,,,05db9164,4c2bc594,d032c263,c18be181,65be028e,7e0ccccf,6772d022,0b153874,a73ee510,099b68bd,e0c3cae0,dfbb09fb,e8df3343,8ceecbc8,7ac43a46,84898b2a,d4bb7bd8,bc48b783,,,0014c32a,,55dd3565,3b183c5c,,
1325,1,0.0,0,8.0,3.0,1749.0,34.0,48.0,8,273.0,0.0,9.0,,12.0,05db9164,298d0556,d032c263,c18be181,0942e0a7,7e0ccccf,36a88c96,0b153874,a73ee510,ae37a48e,2e420cd8,dfbb09fb,004dc387,07d13a8f,bfcf91a0,84898b2a,e5ba7672,a8f42b59,,,0014c32a,,423fab69,3b183c5c,,
1328,1,0.0,0,4.0,9.0,1776,151.0,32,7,53,0.0,2,,31.0,05db9164,68aede49,52441c0f,792bc2c0,f281d2a7,7e0ccccf,dc2b40a4,0b153874,a73ee510,8567b763,6685ea28,29449a40,7edc047a,07d13a8f,8dbc001a,02df538f,e5ba7672,262c8681,,,de17cb80,,c7dc6720,1370c56e,,
1368,0,0.0,1,1.0,1.0,1529.0,8.0,5.0,1,1.0,0.0,2.0,,1.0,05db9164,c3d483bc,66cfa835,59504ac4,b0530c50,fbad5c96,10cfa4ce,0b153874,a73ee510,998b0039,d0c3ead8,aa3a5972,a7de95c2,07d13a8f,dcac819d,08993d2a,e5ba7672,b0a0fca9,,,2cff7ecd,,c7dc6720,1f133a4c,,
1380,0,,8,7.0,6.0,34891,,0,11,11,,0,,11.0,05db9164,8084ee93,d032c263,c18be181,4cf72387,7e0ccccf,2f61f432,5b392875,a73ee510,3b08e48b,42c897f4,dfbb09fb,ee6824f6,1adce6ef,5d922427,84898b2a,776ce399,003d4f4f,,,0014c32a,,be7c41b4,3b183c5c,,
